contract_number,Date Signed,Vendor Name,Award Amount
C-245984,12/04/2015,Universal Contractors,"$8,616,550"
C-513614,"Oct 02, 2015",Island Builders,"$3,511,080"
C-731975,"Jan 15, 2016",Marina Holdings,"$522,183"
C-840920,2010-07-17,Island Builders,"$566,844"
C-191532,"Sep 26, 2017",Tech Solutions,"$6,296,439"
C-154208,"May 03, 2019",Acme Corp,"$2,340,307"
C-552004,"Sep 10, 2019",Global Supply,"$8,351,498"
C-258259,"Jul 01, 2010",Tech Solutions,"$3,676,819"
C-505204,09/25/2011,Global Supply,"$9,932,721"
C-312095,05/10/2011,Universal Contractors,"$5,711,316"
C-305389,"Aug 31, 2018",Acme Corp,"$8,670,942"
C-605858,2011-02-16,Global Supply,"$6,970,727"
C-570191,"May 13, 2015",Servicios Unidos,"$8,398,597"
C-877685,2019-10-06,Construcciones PR,"$892,895"
C-757924,"Sep 27, 2011",Construcciones PR,"$6,934,459"
C-802610,01/07/2014,Global Supply,"$8,011,957"
C-568576,"May 04, 2019",Global Supply,"$1,022,658"
C-693310,07/13/2015,Universal Contractors,"$6,172,727"
C-299583,"Aug 09, 2016",Marina Holdings,"$2,840,803"
C-776279,2016-01-26,Bajos LLC,"$7,080,652"
C-867518,02/04/2012,Global Supply,"$9,463,174"
C-537319,12/10/2013,Island Builders,"$8,152,687"
C-122883,"Oct 05, 2018",Global Supply,"$8,023,080"
C-642939,01/17/2015,Tech Solutions,"$2,078,232"
C-634102,2017-08-17,Tech Solutions,"$7,137,674"
C-159226,2011-10-30,Global Supply,"$1,997,056"
C-492632,"Mar 13, 2018",Servicios Unidos,"$8,339,348"
C-985370,"Mar 15, 2011",Universal Contractors,"$1,489,162"
C-195558,11/22/2012,Island Builders,"$3,729,920"
C-030170,2015-03-25,Island Builders,"$408,587"
C-893574,02/10/2015,Universal Contractors,"$5,311,127"
C-967697,2012-04-14,Island Builders,"$7,862,970"
C-340310,"Aug 23, 2013",Marina Holdings,"$3,448,947"
C-439365,12/23/2017,Marina Holdings,"$180,864"
C-943585,09/08/2014,Bajos LLC,"$5,777,722"
C-140561,2016-11-09,Bajos LLC,"$430,893"
C-246118,2011-04-05,Bajos LLC,"$5,626,040"
C-177202,11/18/2011,Bajos LLC,"$14,957"
C-574537,"Apr 14, 2013",Acme Corp,"$3,943,726"
C-332023,09/22/2018,Tech Solutions,"$3,249,174"
C-456487,03/11/2015,Construcciones PR,"$4,608,706"
C-676575,2010-04-20,Bajos LLC,"$7,740,975"
C-501385,08/30/2016,Marina Holdings,"$7,890,233"
C-982952,01/09/2013,Marina Holdings,"$5,823,537"
C-261495,"Oct 27, 2019",Universal Contractors,"$6,385,940"
C-350969,2012-02-25,Universal Contractors,"$3,827,434"
C-587570,"Feb 04, 2019",Universal Contractors,"$1,943,387"
C-821113,01/13/2011,Bajos LLC,"$3,530,879"
C-209901,2018-12-27,Acme Corp,"$1,765,021"
C-908812,09/17/2018,Tech Solutions,"$4,975,907"
C-865511,08/29/2014,Construcciones PR,"$4,768,989"
C-100711,"Aug 18, 2019",Acme Corp,"$9,007,528"
C-536762,2018-07-24,Marina Holdings,"$948,449"
C-656319,2012-06-12,Island Builders,"$2,694,052"
C-248097,"May 05, 2012",Universal Contractors,"$9,266,138"
C-177990,"Feb 25, 2012",Construcciones PR,"$5,636,988"
C-153897,2011-03-23,Bajos LLC,"$5,392,017"
C-022669,10/05/2013,Servicios Unidos,"$3,821,834"
C-238743,"Dec 16, 2011",Acme Corp,"$2,987,218"
C-895883,"Oct 11, 2011",Island Builders,"$7,140,730"
C-972854,"Jan 11, 2010",Marina Holdings,"$2,226,793"
C-059141,11/09/2016,Construcciones PR,"$3,127,682"
C-980458,2012-12-28,Island Builders,"$2,580,570"
C-815325,08/07/2011,Construcciones PR,"$8,027,948"
C-116641,2011-12-23,Acme Corp,"$6,084,540"
C-294754,"Sep 19, 2016",Global Supply,"$9,455,195"
C-585045,12/24/2012,Marina Holdings,"$2,488,635"
C-927586,03/05/2010,Tech Solutions,"$5,119,816"
C-309400,"Jan 09, 2016",Marina Holdings,"$2,061,203"
C-657657,2016-06-05,Bajos LLC,"$1,135,503"
C-803614,"Aug 13, 2011",Construcciones PR,"$4,560,258"
C-415314,2018-03-21,Marina Holdings,"$9,806,413"
C-244412,"May 17, 2017",Acme Corp,"$3,528,263"
C-314182,"Dec 01, 2016",Construcciones PR,"$9,285,887"
C-841145,2013-12-03,Universal Contractors,"$453,297"
C-474696,"May 06, 2011",Bajos LLC,"$1,735,535"
C-873937,2017-11-06,Global Supply,"$6,873,133"
C-611724,2011-09-10,Construcciones PR,"$286,836"
C-108932,07/06/2014,Island Builders,"$9,906,906"
C-691796,2015-10-10,Tech Solutions,"$5,390,403"
C-365941,2018-07-27,Acme Corp,"$2,073,544"
C-424191,03/25/2015,Global Supply,"$7,440,364"
C-342979,01/27/2015,Acme Corp,"$4,107,345"
C-201860,10/12/2018,Acme Corp,"$2,754,021"
C-385085,01/30/2011,Marina Holdings,"$4,436,098"
C-229968,2016-03-30,Acme Corp,"$3,448,023"
C-961676,"Apr 10, 2014",Acme Corp,"$8,064,434"
C-182315,04/09/2018,Construcciones PR,"$5,189,994"
C-455285,02/13/2017,Construcciones PR,"$2,207,707"
C-616819,07/24/2018,Acme Corp,"$6,995,079"
C-444062,"Jul 17, 2018",Servicios Unidos,"$2,417,517"
C-678196,2014-11-30,Tech Solutions,"$3,452,247"
C-551091,"Nov 01, 2013",Marina Holdings,"$9,431,451"
C-476026,2016-11-17,Servicios Unidos,"$9,370,015"
C-927899,08/26/2014,Global Supply,"$265,868"
C-207900,2015-05-20,Bajos LLC,"$913,912"
C-185870,"Nov 29, 2017",Marina Holdings,"$8,544,902"
C-374650,12/04/2014,Global Supply,"$5,485,348"
C-869402,2014-07-01,Construcciones PR,"$9,965,108"
C-657128,08/29/2010,Acme Corp,"$1,621,364"
C-957285,08/27/2011,Marina Holdings,"$5,284,288"
C-912623,11/29/2017,Acme Corp,"$4,602,444"
C-274408,"Dec 11, 2013",Tech Solutions,"$2,625,562"
C-236432,01/09/2016,Universal Contractors,"$4,101,981"
C-906774,2011-01-11,Construcciones PR,"$2,094,756"
C-576767,08/23/2018,Universal Contractors,"$9,481,372"
C-313456,2014-01-05,Global Supply,"$9,753,077"
C-507763,12/20/2018,Global Supply,"$4,196,474"
C-206837,"May 04, 2017",Servicios Unidos,"$9,847,683"
C-077541,2011-11-10,Tech Solutions,"$7,540,553"
C-241558,12/13/2011,Island Builders,"$9,064,876"
C-996680,"Aug 24, 2017",Acme Corp,"$9,584,572"
C-113376,01/10/2018,Bajos LLC,"$6,992,436"
C-011079,"Nov 01, 2012",Global Supply,"$7,219,443"
C-707220,"Aug 22, 2014",Universal Contractors,"$4,583,643"
C-846405,03/30/2014,Global Supply,"$3,141,493"
C-118430,"Jul 16, 2015",Island Builders,"$5,672,750"
C-398406,2011-08-07,Global Supply,"$161,423"
C-419198,07/28/2018,Tech Solutions,"$465,226"
C-205673,"Dec 16, 2017",Bajos LLC,"$8,550,201"
C-751226,2012-10-30,Universal Contractors,"$1,541,376"
C-958104,"Dec 22, 2018",Acme Corp,"$5,796,095"
C-687138,"Jun 26, 2018",Acme Corp,"$8,938,376"
C-094177,06/21/2010,Tech Solutions,"$8,896,979"
C-258377,2015-07-16,Acme Corp,"$6,169,184"
C-192553,"Feb 14, 2014",Bajos LLC,"$8,757,460"
C-308862,2010-08-21,Tech Solutions,"$5,372,661"
C-780436,2015-03-20,Tech Solutions,"$1,646,231"
C-360905,2015-12-27,Construcciones PR,"$745,808"
C-247513,02/21/2019,Bajos LLC,"$9,277,209"
C-426424,"May 04, 2011",Bajos LLC,"$705,848"
C-630677,02/01/2016,Global Supply,"$6,605,157"
C-380463,10/19/2012,Universal Contractors,"$2,603,045"
C-560730,"Mar 09, 2014",Construcciones PR,"$2,654,305"
C-485662,2015-11-06,Island Builders,"$3,447,286"
C-780934,"Sep 02, 2011",Marina Holdings,"$1,158,766"
C-819943,02/23/2013,Bajos LLC,"$4,269,628"
C-103105,"Apr 10, 2019",Servicios Unidos,"$1,461,422"
C-642941,"Jun 21, 2013",Island Builders,"$5,224,277"
C-730854,"Jan 10, 2019",Island Builders,"$3,270,373"
C-625631,2016-04-01,Marina Holdings,"$7,814,456"
C-027302,04/04/2012,Universal Contractors,"$9,784,112"
C-322342,2019-11-25,Servicios Unidos,"$6,008,792"
C-113390,"Jan 09, 2017",Servicios Unidos,"$9,019,863"
C-892454,2010-10-29,Bajos LLC,"$2,142,009"
C-392797,"Sep 11, 2018",Marina Holdings,"$9,362,096"
C-056460,2018-08-19,Marina Holdings,"$5,999,521"
C-837678,"Apr 05, 2017",Island Builders,"$9,709,338"
C-171335,01/22/2013,Bajos LLC,"$1,663,336"
C-672388,"Sep 22, 2015",Servicios Unidos,"$8,629,406"
C-124992,07/06/2018,Servicios Unidos,"$2,630,798"
C-157874,2018-08-14,Global Supply,"$1,223,642"
C-123277,"Dec 26, 2012",Island Builders,"$5,194,503"
C-470829,2012-02-24,Tech Solutions,"$225,278"
C-416718,2019-05-04,Tech Solutions,"$6,080,436"
C-683038,"Nov 05, 2018",Acme Corp,"$5,845,300"
C-570204,2013-03-01,Global Supply,"$6,544,022"
C-161006,"Jul 16, 2011",Universal Contractors,"$3,428,222"
C-667853,2016-05-08,Acme Corp,"$9,222,130"
C-190919,04/18/2016,Acme Corp,"$4,255,561"
C-267523,"Jul 04, 2010",Construcciones PR,"$4,232,908"
C-931668,04/25/2011,Universal Contractors,"$9,943,517"
C-250907,05/17/2018,Tech Solutions,"$9,195,353"
C-124674,2010-01-09,Tech Solutions,"$2,677,266"
C-997779,11/21/2019,Acme Corp,"$8,052,500"
C-797091,02/21/2011,Tech Solutions,"$6,923,164"
C-227990,"Aug 26, 2015",Bajos LLC,"$824,821"
C-082278,"Jul 07, 2016",Global Supply,"$638,296"
C-369067,02/28/2018,Bajos LLC,"$3,788,434"
C-335995,"Jan 09, 2015",Acme Corp,"$4,603,523"
C-995671,2016-10-02,Servicios Unidos,"$402,798"
C-563787,12/29/2019,Servicios Unidos,"$499,842"
C-964811,"Mar 18, 2015",Tech Solutions,"$8,001,154"
C-107663,08/06/2010,Bajos LLC,"$2,549,263"
C-885857,"Jun 21, 2014",Construcciones PR,"$2,026,917"
C-969377,07/23/2011,Island Builders,"$4,891,373"
C-627145,2013-02-05,Construcciones PR,"$5,198,568"
C-044671,06/13/2018,Marina Holdings,"$6,084,507"
C-445376,06/27/2010,Servicios Unidos,"$5,053,387"
C-590958,2010-02-24,Marina Holdings,"$4,822,037"
C-655146,01/31/2016,Marina Holdings,"$8,181,594"
C-506289,2010-05-19,Bajos LLC,"$4,437,740"
C-176633,"Jun 11, 2015",Servicios Unidos,"$9,647,304"
C-660817,2016-10-12,Acme Corp,"$5,912,338"
C-330043,04/24/2017,Bajos LLC,"$1,385,830"
C-293949,2011-08-21,Servicios Unidos,"$8,756,387"
C-646852,"Aug 10, 2013",Servicios Unidos,"$40,934"
C-652366,09/16/2017,Bajos LLC,"$9,162,763"
C-459337,2014-03-17,Universal Contractors,"$5,400,061"
C-461549,2013-09-29,Construcciones PR,"$6,817,623"
C-170101,2010-10-04,Bajos LLC,"$7,474,956"
C-646724,"Jun 13, 2014",Marina Holdings,"$9,032,134"
C-003246,"Mar 05, 2011",Universal Contractors,"$728,430"
C-197913,"Aug 22, 2010",Bajos LLC,"$2,026,054"
C-553567,"Apr 04, 2017",Acme Corp,"$1,296,737"
C-912073,10/03/2015,Tech Solutions,"$6,752,845"
C-122851,2014-11-22,Servicios Unidos,"$6,814,704"
C-752337,01/24/2019,Acme Corp,"$1,245,244"
C-682631,01/22/2011,Island Builders,"$6,657,193"
C-336626,"Dec 16, 2015",Island Builders,"$661,088"
C-510313,2014-06-10,Tech Solutions,"$8,062,722"
C-136879,2017-05-14,Marina Holdings,"$4,442,391"
C-722295,11/29/2017,Island Builders,"$875,860"
C-610639,"Apr 27, 2016",Tech Solutions,"$4,485,738"
C-383939,2013-11-29,Island Builders,"$4,579,684"
C-198963,02/06/2011,Universal Contractors,"$7,356,338"
C-017140,11/13/2016,Bajos LLC,"$8,834,848"
C-281645,08/03/2011,Acme Corp,"$1,207,272"
C-770232,04/16/2010,Servicios Unidos,"$7,798,371"
C-126109,09/13/2018,Marina Holdings,"$9,665,913"
C-590947,2016-01-09,Construcciones PR,"$7,130,077"
C-163049,03/24/2017,Tech Solutions,"$56,604"
C-575064,"Feb 15, 2010",Island Builders,"$4,213,896"
C-811884,11/19/2019,Servicios Unidos,"$2,259,736"
C-039073,2016-11-17,Island Builders,"$5,300,899"
C-489024,"Apr 21, 2011",Island Builders,"$3,593,426"
C-133440,2015-10-15,Universal Contractors,"$1,042,928"
C-210137,03/08/2014,Global Supply,"$9,336,418"
C-343366,06/26/2019,Bajos LLC,"$7,145,578"
C-242444,2010-06-20,Island Builders,"$8,290,902"
C-547997,08/30/2011,Island Builders,"$8,172,807"
C-539149,2016-01-16,Global Supply,"$6,208,640"
C-301425,06/11/2015,Marina Holdings,"$237,367"
C-231270,"Mar 15, 2017",Bajos LLC,"$6,870,809"
C-738375,"Oct 21, 2010",Global Supply,"$3,336,701"
C-597582,02/02/2014,Tech Solutions,"$8,367,403"
C-602381,2019-11-23,Marina Holdings,"$4,106,932"
C-159036,"Sep 29, 2017",Global Supply,"$1,470,742"
C-731540,2015-02-19,Island Builders,"$8,971,342"
C-539461,05/15/2017,Global Supply,"$9,418,132"
C-509491,10/29/2011,Marina Holdings,"$7,598,996"
C-854485,02/12/2012,Construcciones PR,"$7,198,212"
C-547456,08/12/2014,Global Supply,"$7,531,995"
C-783623,2010-11-10,Tech Solutions,"$4,868,508"
C-914659,02/22/2010,Global Supply,"$514,087"
C-727415,2010-02-23,Tech Solutions,"$6,373,765"
C-064852,2010-01-23,Universal Contractors,"$8,965,985"
C-411162,04/30/2016,Bajos LLC,"$9,034,638"
C-554201,07/15/2011,Universal Contractors,"$9,313,321"
C-344002,2015-04-12,Servicios Unidos,"$8,516,589"
C-387932,"Sep 04, 2018",Marina Holdings,"$3,260,247"
C-509360,"Nov 04, 2014",Construcciones PR,"$1,004,563"
C-824762,"Oct 18, 2013",Global Supply,"$3,361,065"
C-969928,2012-11-11,Marina Holdings,"$5,714,789"
C-953643,11/30/2014,Global Supply,"$2,462,813"
C-731124,2013-02-23,Island Builders,"$6,509,555"
C-108911,2012-05-29,Acme Corp,"$3,203,426"
C-815673,"May 02, 2019",Marina Holdings,"$9,188,028"
C-579955,06/04/2017,Island Builders,"$7,017,793"
C-636068,"Feb 14, 2013",Acme Corp,"$9,263,352"
C-309131,10/04/2015,Servicios Unidos,"$7,542,265"
C-360867,2016-07-05,Acme Corp,"$3,962,843"
C-818975,"Oct 06, 2019",Marina Holdings,"$6,426,460"
C-114956,2015-03-16,Servicios Unidos,"$3,312,401"
C-010755,2013-06-29,Universal Contractors,"$1,707,710"
C-148522,"Jun 05, 2011",Marina Holdings,"$5,852,702"
C-993834,2016-11-07,Acme Corp,"$6,195,979"
C-507625,05/30/2019,Island Builders,"$9,411,992"
C-754512,2012-02-03,Global Supply,"$3,384,154"
C-797716,12/15/2016,Island Builders,"$2,540,544"
C-804694,08/27/2012,Tech Solutions,"$752,391"
C-189884,"Mar 15, 2013",Acme Corp,"$8,003,802"
C-346158,"Feb 12, 2010",Acme Corp,"$3,423,140"
C-376512,12/01/2012,Universal Contractors,"$3,528,981"
C-651801,09/15/2013,Bajos LLC,"$1,075,322"
C-988305,12/16/2012,Universal Contractors,"$1,422,915"
C-060683,02/08/2018,Construcciones PR,"$784,754"
C-586574,"Jan 20, 2012",Construcciones PR,"$7,069,503"
C-291253,2013-06-23,Bajos LLC,"$5,707,801"
C-436248,12/31/2015,Tech Solutions,"$1,633,446"
C-012245,2012-05-11,Bajos LLC,"$3,484,904"
C-224578,03/16/2012,Acme Corp,"$8,852,672"
C-206488,"Mar 21, 2012",Universal Contractors,"$7,526,128"
C-133617,"Dec 21, 2012",Universal Contractors,"$9,616,612"
C-143051,"Apr 12, 2015",Bajos LLC,"$886,749"
C-588297,2012-10-11,Global Supply,"$1,110,192"
C-421672,2017-04-07,Global Supply,"$6,932,616"
C-573523,"Dec 19, 2018",Marina Holdings,"$108,577"
C-863115,"Dec 15, 2016",Universal Contractors,"$9,557,280"
C-931737,2011-12-10,Bajos LLC,"$6,404,945"
C-744536,"Feb 13, 2018",Bajos LLC,"$2,635,464"
C-574675,01/19/2010,Island Builders,"$787,296"
C-077096,04/11/2019,Acme Corp,"$3,428,258"
C-927888,"Mar 10, 2012",Acme Corp,"$312,208"
C-199807,09/08/2013,Marina Holdings,"$7,147,853"
C-970864,04/04/2013,Servicios Unidos,"$6,089,027"
C-319110,"Oct 05, 2011",Servicios Unidos,"$6,169,866"
C-642738,2017-09-27,Global Supply,"$517,840"
C-804760,2016-05-30,Bajos LLC,"$9,371,986"
C-136618,2014-01-25,Global Supply,"$803,121"
C-230096,"Jul 10, 2014",Tech Solutions,"$4,270,607"
C-909988,11/16/2011,Servicios Unidos,"$1,468,896"
C-041043,10/10/2018,Bajos LLC,"$8,205,408"
C-668628,"Aug 03, 2019",Global Supply,"$2,925,818"
C-699225,2010-01-05,Tech Solutions,"$7,737,771"
C-446488,"May 07, 2014",Marina Holdings,"$1,903,074"
C-947128,2012-05-24,Tech Solutions,"$247,848"
C-571856,03/31/2011,Island Builders,"$197,268"
C-047927,"Jan 01, 2010",Bajos LLC,"$8,019,731"
C-478153,"Apr 01, 2016",Marina Holdings,"$3,872,532"
C-627318,"Dec 09, 2010",Global Supply,"$7,136,090"
C-005929,12/21/2017,Island Builders,"$2,819,827"
C-887634,2014-11-01,Acme Corp,"$402,662"
C-654944,08/09/2013,Universal Contractors,"$5,064,988"
C-081600,2014-05-10,Construcciones PR,"$9,746,841"
C-004186,"Jan 08, 2011",Servicios Unidos,"$208,475"
C-823813,04/18/2010,Universal Contractors,"$4,805,938"
C-540048,05/21/2010,Global Supply,"$4,352,516"
C-331198,"Aug 03, 2014",Servicios Unidos,"$5,079,321"
C-527648,"May 05, 2012",Marina Holdings,"$8,530,061"
C-455423,"Jun 12, 2011",Marina Holdings,"$5,790,569"
C-112905,"Sep 15, 2010",Bajos LLC,"$2,530,416"
C-850468,"Mar 07, 2011",Marina Holdings,"$8,068,158"
C-283013,2019-07-15,Island Builders,"$5,801,336"
C-234940,"Jun 01, 2017",Global Supply,"$3,107,070"
C-903777,"Nov 11, 2018",Island Builders,"$1,320,683"
C-006655,2019-03-25,Marina Holdings,"$9,882,473"
C-106063,11/19/2019,Servicios Unidos,"$8,212,184"
C-382823,"Dec 21, 2010",Servicios Unidos,"$180,980"
C-588832,04/20/2015,Bajos LLC,"$1,038,143"
C-214360,2015-05-18,Global Supply,"$9,319,802"
C-024403,"Mar 14, 2010",Tech Solutions,"$7,292,120"
C-120149,"Dec 13, 2018",Tech Solutions,"$6,308,706"
C-919965,01/05/2014,Global Supply,"$8,471,385"
C-536718,03/21/2017,Island Builders,"$4,689,833"
C-341934,10/08/2010,Construcciones PR,"$5,086,358"
C-668108,08/20/2012,Marina Holdings,"$1,084,236"
C-770326,"Jul 30, 2019",Island Builders,"$5,697,635"
C-553839,2015-06-13,Island Builders,"$8,374,152"
C-480282,07/01/2013,Construcciones PR,"$852,467"
C-445843,"Jan 24, 2011",Universal Contractors,"$6,955,328"
C-750869,2017-07-17,Acme Corp,"$1,919,004"
C-240574,01/29/2016,Universal Contractors,"$479,439"
C-746256,"Oct 29, 2011",Bajos LLC,"$8,285,875"
C-971008,03/13/2010,Universal Contractors,"$8,250,679"
C-584921,2018-10-16,Construcciones PR,"$594,563"
C-680823,2014-07-29,Bajos LLC,"$7,428,339"
C-164589,"Sep 14, 2019",Servicios Unidos,"$8,143,378"
C-134662,"Jul 04, 2014",Construcciones PR,"$7,833,838"
C-282013,09/08/2011,Universal Contractors,"$6,082,343"
C-452626,09/11/2013,Global Supply,"$2,463,517"
C-525033,11/19/2011,Construcciones PR,"$514,549"
C-550797,2010-08-07,Acme Corp,"$6,889,017"
C-283643,2016-02-26,Universal Contractors,"$3,715,875"
C-325364,2012-02-05,Bajos LLC,"$8,980,548"
C-884526,"Jan 01, 2011",Marina Holdings,"$840,908"
C-878583,"May 20, 2015",Island Builders,"$5,012,681"
C-331275,02/22/2018,Global Supply,"$4,513,106"
C-531131,"Feb 14, 2016",Bajos LLC,"$7,034,233"
C-056024,"May 29, 2019",Acme Corp,"$4,236,055"
C-496977,2018-03-30,Marina Holdings,"$9,155,012"
C-102626,06/04/2016,Marina Holdings,"$5,669,252"
C-527282,02/20/2010,Island Builders,"$3,970,680"
C-019525,"Oct 31, 2012",Tech Solutions,"$2,730,506"
C-682270,"Jan 22, 2012",Tech Solutions,"$7,364,352"
C-447396,"May 12, 2015",Acme Corp,"$9,984,391"
C-147086,03/19/2012,Marina Holdings,"$7,204,584"
C-137907,2017-07-25,Construcciones PR,"$1,243,944"
C-193906,"May 13, 2016",Global Supply,"$1,248,346"
C-405304,05/23/2010,Acme Corp,"$6,654,481"
C-516066,"Mar 19, 2018",Construcciones PR,"$993,105"
C-042456,2013-10-08,Global Supply,"$8,768,473"
C-860171,05/31/2011,Servicios Unidos,"$1,718,193"
C-746440,07/24/2012,Bajos LLC,"$9,404,665"
C-593379,08/31/2010,Tech Solutions,"$2,818,294"
C-096480,"Mar 28, 2011",Construcciones PR,"$5,386,838"
C-820062,"Jul 07, 2019",Acme Corp,"$4,529,973"
C-830407,05/07/2017,Global Supply,"$5,582,458"
C-335069,"Dec 07, 2013",Servicios Unidos,"$5,079,244"
C-301785,2018-04-29,Global Supply,"$6,915,264"
C-919138,2015-01-08,Island Builders,"$7,624,059"
C-664030,04/01/2018,Servicios Unidos,"$5,887,188"
C-998526,05/17/2012,Construcciones PR,"$193,908"
C-388494,"Jan 04, 2017",Servicios Unidos,"$917,306"
C-124579,"Feb 04, 2012",Global Supply,"$8,527,580"
C-584045,2011-08-10,Island Builders,"$7,135,160"
C-650478,11/01/2018,Universal Contractors,"$6,465,856"
C-160196,2013-08-04,Global Supply,"$993,880"
C-733593,2019-09-16,Bajos LLC,"$8,431,833"
C-291676,"Jun 30, 2014",Bajos LLC,"$7,044,162"
C-394052,"Nov 26, 2011",Tech Solutions,"$6,995,690"
C-818065,04/17/2012,Tech Solutions,"$3,432,157"
C-312657,"Jul 30, 2014",Bajos LLC,"$8,036,499"
C-135588,"Oct 01, 2015",Global Supply,"$935,163"
C-354277,01/05/2011,Bajos LLC,"$5,921,553"
C-723918,05/28/2014,Universal Contractors,"$91,506"
C-077999,09/06/2014,Global Supply,"$1,047,998"
C-232196,2012-12-23,Global Supply,"$6,815,909"
C-695676,02/28/2019,Servicios Unidos,"$2,813,588"
C-621507,2010-09-04,Tech Solutions,"$8,922,345"
C-498062,01/16/2015,Construcciones PR,"$9,341,399"
C-467283,04/03/2010,Universal Contractors,"$8,795,093"
C-777717,03/11/2016,Global Supply,"$616,036"
C-032534,"Apr 20, 2013",Universal Contractors,"$6,120,694"
C-844681,07/02/2019,Servicios Unidos,"$3,329,648"
C-456461,2014-03-03,Global Supply,"$1,074,127"
C-804363,2019-04-08,Island Builders,"$7,479,024"
C-913455,2017-12-11,Servicios Unidos,"$8,537,043"
C-531763,"Jan 15, 2010",Bajos LLC,"$5,998,374"
C-655441,10/29/2013,Bajos LLC,"$7,614,716"
C-644611,2019-07-15,Island Builders,"$2,211,744"
C-053732,2015-01-23,Marina Holdings,"$3,013,259"
C-343060,2013-11-09,Servicios Unidos,"$53,000"
C-799454,12/12/2019,Universal Contractors,"$8,018,616"
C-632538,12/29/2010,Servicios Unidos,"$5,981,733"
C-269349,09/30/2017,Universal Contractors,"$2,070,033"
C-075712,"Jul 19, 2010",Tech Solutions,"$1,737,407"
C-038891,"Aug 12, 2016",Global Supply,"$222,880"
C-886904,08/03/2018,Construcciones PR,"$9,528,788"
C-591407,"Jun 15, 2013",Marina Holdings,"$1,334,229"
C-106244,02/23/2016,Construcciones PR,"$5,319,003"
C-969818,2015-04-22,Island Builders,"$7,376"
C-825436,"Feb 14, 2018",Tech Solutions,"$5,323,406"
C-631432,03/15/2014,Acme Corp,"$2,453,577"
C-991091,01/18/2016,Bajos LLC,"$6,830,190"
C-482772,2014-12-23,Tech Solutions,"$6,403,360"
C-478566,12/07/2010,Tech Solutions,"$1,302,764"
C-512110,"Jun 18, 2011",Universal Contractors,"$2,497,966"
C-615576,2010-01-02,Island Builders,"$9,921,037"
C-294527,2010-12-24,Acme Corp,"$9,822,962"
C-579447,2019-10-18,Acme Corp,"$6,631,985"
C-077737,"Oct 26, 2012",Construcciones PR,"$1,216,310"
C-000251,"Sep 04, 2013",Tech Solutions,"$4,291,991"
C-389087,2011-01-18,Universal Contractors,"$3,098,339"
C-113166,2018-03-10,Marina Holdings,"$903,385"
C-262591,12/28/2010,Universal Contractors,"$2,858,564"
C-769172,2014-11-29,Tech Solutions,"$7,179,316"
C-831726,08/24/2015,Global Supply,"$1,588,555"
C-468180,12/19/2010,Island Builders,"$5,424,159"
C-861951,2018-11-27,Global Supply,"$4,605,670"
C-595676,11/05/2013,Construcciones PR,"$6,227,068"
C-413118,2010-11-22,Bajos LLC,"$1,304,982"
C-622297,"Dec 15, 2017",Servicios Unidos,"$8,412,584"
C-864969,"Aug 03, 2016",Universal Contractors,"$167,984"
C-140697,06/26/2017,Tech Solutions,"$929,784"
C-427291,"Jan 01, 2017",Bajos LLC,"$604,179"
C-123649,2011-03-24,Servicios Unidos,"$258,058"
C-343871,2011-10-10,Servicios Unidos,"$3,869,179"
C-466877,08/13/2012,Bajos LLC,"$8,826,671"
C-737150,03/11/2013,Servicios Unidos,"$1,892,991"
C-959529,"Dec 28, 2013",Servicios Unidos,"$7,753,429"
C-256717,"Aug 16, 2011",Servicios Unidos,"$2,007,299"
C-401182,"Mar 09, 2012",Bajos LLC,"$8,261,613"
C-780572,2016-09-07,Island Builders,"$6,708,738"
C-601292,"Sep 14, 2012",Bajos LLC,"$5,862,193"
C-572479,"May 22, 2018",Island Builders,"$2,558,858"
C-428330,02/04/2016,Servicios Unidos,"$3,869,938"
C-689456,"Jan 17, 2012",Acme Corp,"$8,980,594"
C-717185,"Feb 26, 2011",Marina Holdings,"$9,240,658"
C-706128,12/17/2010,Acme Corp,"$4,567,369"
C-412456,09/15/2019,Servicios Unidos,"$3,627,408"
C-338671,12/30/2014,Acme Corp,"$6,524,008"
C-105261,10/03/2018,Universal Contractors,"$5,053,183"
C-624868,2019-08-19,Global Supply,"$5,905,250"
C-986615,"Apr 18, 2010",Global Supply,"$5,319,718"
C-264611,"Aug 22, 2010",Marina Holdings,"$9,142,007"
C-614351,07/13/2010,Global Supply,"$8,141,543"
C-640082,2018-06-24,Marina Holdings,"$5,741,043"
C-303650,"Jan 16, 2011",Universal Contractors,"$5,974,168"
C-476907,11/10/2013,Servicios Unidos,"$2,405,785"
C-761182,10/29/2013,Universal Contractors,"$2,816,022"
C-535413,"Nov 03, 2015",Servicios Unidos,"$9,768,780"
C-924556,08/29/2018,Universal Contractors,"$9,500,181"
C-933587,10/08/2019,Island Builders,"$8,621,638"
C-158765,"Jun 25, 2013",Marina Holdings,"$4,954,214"
C-583223,2010-02-02,Acme Corp,"$7,872,812"
C-746866,11/26/2016,Servicios Unidos,"$3,534,398"
C-150237,05/11/2011,Universal Contractors,"$7,405,556"
C-810696,2016-12-09,Marina Holdings,"$6,522,760"
C-744083,2015-10-18,Global Supply,"$8,744,392"
C-186518,2010-11-25,Acme Corp,"$8,429,170"
C-706560,2019-01-01,Servicios Unidos,"$4,464,094"
C-600908,03/14/2014,Universal Contractors,"$6,551,928"
